,step_name,number_of_created_files,number_of_files_created_never_accessed,number_files_modified_after_accessed,time
0,setup,5,0,5,0
1,uses,43,0,43,1
2,SetupJDK18,10,0,10,4
3,BuildwithMaven,13,0,13,490
4,finished,5,0,5,0
