,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,9,12,0,0,9,0,0,0,0,0,3,0,0,142,1
1,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,0,0,154,9
2,BuildwithMaven,133,142,0,0,133,0,0,0,0,0,9,0,0,12,28
