,step_name,number_of_created_files,number_of_files_created_never_accessed,number_files_modified_after_accessed,time
0,setup,5,0,5,0
1,uses,74,0,74,2
2,SetupJDK18,214,0,214,9
3,TestwithMaven,13,0,13,9
4,Codecov,10,0,10,2
5,finished,5,0,5,1
