,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0
1,uses10,5,5,0,5,0,0,0,0,0,0,0,0,168,0,1
2,SetupJDK8,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0
3,Checkjavacheckstyle,5,6,0,5,0,0,0,0,0,1,0,0,167,0,14
4,Test,162,162,0,162,0,0,0,0,0,0,0,0,11,0,10
