,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,1,83,0,0
1,uses16,55,68,0,55,0,0,0,0,0,13,0,1,15,0,1
2,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,1,83,0,3
3,BuildwithMaven,14,16,1,13,0,0,0,0,0,2,0,0,68,0,82
