,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkout,18,21,0,0,18,0,0,0,0,0,3,0,321,1007,1
1,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,321,1028,0
2,Mavenversion,0,0,0,0,0,0,0,0,0,0,0,0,321,1028,1
3,Mavenbuild,331,331,320,0,11,0,0,0,0,0,0,0,1,1017,67
4,Website,848,997,1,0,847,0,0,0,0,0,149,0,320,32,8
