,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1,uses10,3,3,0,3,0,0,0,0,0,0,0,0,4,0,1
2,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3
3,BuildwithMaven,4,4,0,4,0,0,0,0,0,0,0,0,3,0,11
