,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses32,33,32,0,0,32,0,0,1,0,0,0,0,0,6,1
1,uses33,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3
2,SetupJDKmatrixjava,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
3,BuildwithMaven,1,1,0,0,1,0,0,0,0,0,0,0,0,38,6
