,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses18,10,12,0,0,10,0,0,0,0,0,2,0,0,3,2
1,SetupJDK18,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4
2,BuildwithMaven,3,3,0,0,3,0,0,0,0,0,0,0,0,12,350
