,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses10,7,8,0,0,7,0,0,0,0,0,1,0,6,8,0
1,SetupJDK8,0,0,0,0,0,0,0,0,0,0,0,0,6,16,1
2,Buildmodules,14,14,6,0,8,0,0,0,0,0,0,0,0,8,28
