,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses21,120,135,0,0,120,0,0,0,0,0,15,0,1,1927,1
1,DownloadMavenDownloadwithdefaultJDKbecauseOpenJDK6doesnotsupportTLS12,0,0,0,0,0,0,0,0,0,0,0,0,1,2062,1
2,SetupJDK6,0,0,0,0,0,0,0,0,0,0,0,0,1,2062,9
3,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,1,2062,2
4,Buildandverify,1845,1928,1,0,1844,0,0,0,0,0,83,0,0,135,36
