,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,412,431,0,0,412,0,0,0,0,0,19,0,0,98,3
1,SetupJDKmatrixjavaversion,0,0,0,0,0,0,0,0,0,0,0,0,0,529,8
2,CacheMavenpackages,0,0,0,0,0,0,0,0,0,0,0,0,0,529,1
3,Runtests,98,98,0,0,98,0,0,0,0,0,0,0,0,431,113
