,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkout,1033,1112,0,0,1029,0,0,4,0,0,83,0,1,2618,3
1,UseJavamatrixjavaversion,0,0,0,0,0,0,0,0,0,0,0,0,1,3734,6
2,BuildandtestJavamatrixjavaversion,2582,2618,1,0,2581,0,0,0,0,0,36,0,0,1117,270
