,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses14,102,113,0,0,102,0,0,0,0,0,11,0,1,1,0
1,SetupJDK18,0,0,0,0,0,0,0,0,0,0,0,0,1,114,5
2,CodeStyleCheck,2,2,1,0,1,0,0,0,0,0,0,0,0,113,11
