,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,1,1441,0,0
1,uses36,29,29,0,29,0,0,0,0,0,0,0,1,1412,0,2
2,uses37,0,0,0,0,0,0,0,0,0,0,0,1,1441,0,3
3,SetupJDKmatrixjava,0,0,0,0,0,0,0,0,0,0,0,1,1441,0,1
4,BuildwithMaven,1386,1413,1,1385,0,0,0,0,0,27,0,0,29,0,173
