,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,1016,867,0,0,852,0,0,164,0,0,15,0,192,304,3
1,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,0,192,1335,6
2,uses-cache,0,0,0,0,0,0,0,0,0,0,0,0,192,1335,8
3,Grantexecutepermissionforgradlew,0,0,0,0,0,0,0,0,0,0,0,0,192,1335,0
4,BuildwithGradle,482,660,188,0,294,0,0,0,4,0,174,0,0,867,1006
5,Checkproceduresincludedinapocfull,0,0,0,0,0,0,0,0,0,0,0,0,192,1335,1
6,Archivetestresults,0,0,0,0,0,0,0,0,0,0,0,0,192,1335,22
