,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
1,uses18,14,19,0,14,0,0,0,0,0,5,0,0,6,0,1
2,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7
3,BuildwithMaven,6,6,0,6,0,0,0,0,0,0,0,0,19,0,247
