,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,320,480,0,0
1,Checkout,19,22,0,19,0,0,0,0,0,3,0,320,458,0,1
2,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,320,480,0,1
3,Mavenversion,0,0,0,0,0,0,0,0,0,0,0,320,480,0,3
4,Mavenbuild,770,778,320,450,0,0,0,0,0,8,0,0,22,0,42
5,Website,0,0,0,0,0,0,0,0,0,0,0,320,480,0,0
