,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses21,122,135,0,0,122,0,0,0,0,0,13,0,1,1789,1
1,DownloadMavenDownloadwithdefaultJDKbecauseOpenJDK6doesnotsupportTLS12,0,0,0,0,0,0,0,0,0,0,0,0,1,1924,2
2,SetupJDK6,0,0,0,0,0,0,0,0,0,0,0,0,1,1924,7
3,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,1,1924,1
4,Buildandverify,1733,1784,1,0,1732,0,0,0,0,0,51,0,0,141,136
