,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,0,1959,0,0
1,uses22,22,26,0,22,0,0,0,0,0,4,0,0,1933,0,1
2,SetupJavamatrixjava,0,0,0,0,0,0,0,0,0,0,0,0,1959,0,2
3,BuildwithMaven,1908,1933,0,1908,0,0,0,0,0,25,0,0,26,0,91
