,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,0
1,uses32,31,31,0,31,0,0,0,0,0,0,0,0,1164,0,2
2,uses33,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,3
3,SetupJDKmatrixjava,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,1
4,BuildwithMaven,1146,1164,0,1146,0,0,0,0,0,18,0,0,31,0,86
5,UploadcoveragetoCodecov,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,2
