,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,CheckoutGitHubrepo,40,48,0,0,40,0,0,0,0,0,8,0,0,127,1
1,SetupJava,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0
2,StartXvfb,0,0,0,0,0,0,0,0,0,0,0,0,0,175,7
3,RuntestsonLinux,126,127,0,0,126,0,0,0,0,0,1,0,0,48,441
