,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses72,197,245,0,0,196,0,0,1,0,0,49,0,0,30,1
1,Setupjava,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0
2,test,26,22,0,0,22,0,0,4,0,0,0,0,0,250,53
