,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0
1,uses18,8,12,0,8,0,0,0,0,0,4,0,0,144,0,1
2,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,0,156,0,2
3,BuildwithMaven,137,144,0,137,0,0,0,0,0,7,0,0,12,0,27
