,step_name,number_of_created_files,number_of_files_created_never_accessed,number_files_modified_after_accessed,time
0,setup,0,0,0,0
1,uses14,33,0,33,2
2,CachelocalMavenrepository,0,0,0,5
3,uses22,0,0,0,29
4,testmaven,5,0,5,15
5,grepqThestepIwait1hourand1otherstepsareundefinedmaventargetsurefirereportsiocucumberskeletonRunCucumberTesttxtechomvntestdidntfailasexpectedfalse,0,0,0,0
6,testgradle,14,0,14,82
7,grepqThestepIwait1hourand1otherstepsareundefinedgradlebuildreportsteststestclassesiocucumberskeletonRunCucumberTesthtmlechogradletestdidntfailasexpectedfalse,0,0,0,0
8,comparegradleandmavensources,0,0,0,0
9,finished,0,0,0,0
