,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkout,604,690,0,0,601,0,0,3,0,0,89,0,0,3212,2
1,UseJava8,0,0,0,0,0,0,0,0,0,0,0,0,0,3905,6
2,Deployartifacts,3206,3215,0,0,3206,0,0,0,0,0,9,0,0,690,99
