,step_name,number_of_created_files,number_of_files_created_never_accessed,number_files_modified_after_accessed,time
0,setup,0,0,0,0
1,uses18,8,8,8,1
2,SetupJDK11,0,0,0,2
3,BuildwithMaven,138,138,138,34
