,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0
1,uses91,414,433,0,414,0,0,0,0,0,19,0,0,98,0,5
2,SetupJDKmatrixjavaversion,0,0,0,0,0,0,0,0,0,0,0,0,531,0,33
3,CacheMavenpackages,0,0,0,0,0,0,0,0,0,0,0,0,531,0,4
4,Runtests,98,98,0,98,0,0,0,0,0,0,0,0,433,0,52
