,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,36,6,0,0,5,0,0,31,0,0,1,0,0,2,1
1,SetupJDK18,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9
2,TestwithMaven,2,33,0,0,2,0,0,0,0,0,31,0,0,6,12
3,Codecov,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2
