,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses34,15727,16346,0,0,15727,0,0,0,0,0,619,0,3544,2558,7
1,SetupJDK,0,0,0,0,0,0,0,0,0,0,0,0,3544,18904,3
2,Build,6041,1189,0,0,1188,3511,3,1339,0,0,1,28,2,16376,44
3,ExtractprojectMavenversion,0,0,0,0,0,0,0,0,0,0,0,0,3544,18904,2
4,Deploysnapshot,35,4913,2,28,5,0,0,0,3,3511,1364,0,0,17535,21
