,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1,uses18,10,11,0,10,0,0,0,0,0,1,0,0,3,0,1
2,SetupJDK18,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4
3,BuildwithMaven,3,3,0,3,0,0,0,0,0,0,0,0,11,0,495
