,step_name,number_of_created_files,number_of_files_created_never_accessed,number_files_modified_after_accessed,time
0,setup,0,0,0,0
1,uses10,3,3,3,0
2,SetupJDK11,0,0,0,1
3,BuildwithMaven,4,4,4,10
