,step_name,#c,#m,cma,cma_,cmt,cm_a,cm_a_,cm_t,c_ma,c_ma_,c_mt,c_m_a,c_m_a_,c_m_t,time
0,setup,0,0,0,0,0,0,0,0,0,0,0,185,686,0,0
1,uses13,380,228,0,216,0,0,164,0,0,12,0,185,294,0,2
2,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,185,686,0,1
3,uses19,0,0,0,0,0,0,0,0,0,0,0,185,686,0,11
4,Grantexecutepermissionforgradlew,0,0,0,0,0,0,0,0,0,0,0,185,686,0,0
5,BuildwithGradle,462,643,179,283,0,0,0,0,6,175,0,0,228,0,1125
6,Checkproceduresincludedinapocfull,0,0,0,0,0,0,0,0,0,0,0,185,686,0,2
7,Archivetestresults,0,0,0,0,0,0,0,0,0,0,0,185,686,0,22
